Age,StateProvinceCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,ThreeYearVisitCount,SkiLoyaltyIndexRating,FrontRangeMarket,CustId,Spend_Winter_2010,Spend_Winter_2011,Spend_Winter_2012,Spend_Winter_2013,Spend_Winter_2014,Spend_Winter_2015,Household1YearSpend,Household3YearSpend,HouseholdLifetimeSpend,NumberOfHouseholdMembers,NumberOfAdults,NumberOfChildren,Pass_Winter_2010,Pass_Winter_2011,Pass_Winter_2012,Pass_Winter_2013,Pass_Winter_2014,Pass_Winter_2015,January_15,February_15,March_15,April_15,November_14,December_14,Ski_Resort1_2014_2015,Ski_Resort2_2014_2015,Ski_Resort3_2014_2015,Ski_Resort4_2014_2015,Ski_Resort5_2014_2015
21,CO,1221.77,.00,899.62,12,4.00,1,1002290,0.00,0.00,0.00,0.00,69.00,0.00,0.00,588.62,1122.77,4,4,0,0,0,0,1,1,0,3,4,1,4,0,5,0,0,0,0,17
20,CO,980,.00,207.00,24,0.00,1,1003353,0.00,0.00,0.00,0.00,207.00,0.00,2782.55,8608.27,8708.27,4,4,0,0,1,0,0,0,0,4,3,4,0,1,1,0,0,0,0,13
63,CO,2881.29,510.09,1146.29,5,10.00,1,1005125,0.00,0.00,0.00,159.00,0.00,0.00,510.09,1146.29,1146.29,5,5,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,2
61,CO,1800,.00,1123.00,9,7.88,1,1006025,0.00,0.00,149.00,364.00,0.00,0.00,0.00,1123.00,1272.00,3,3,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
64,CO,2278,499.00,1582.00,25,10.00,1,1016506,0.00,138.00,0.00,614.00,0.00,179.00,2320.08,5044.58,5342.58,8,6,2,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,4
56,CO,1747.88,.00,1489.88,7,10.00,1,1016597,0.00,0.00,0.00,0.00,69.00,0.00,0.00,1489.88,1489.88,2,2,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,3
41,CO,2693.41,499.00,2246.41,14,8.90,1,1017776,149.00,149.00,149.00,298.00,0.00,0.00,687.11,2507.14,2805.14,3,2,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,3
67,CO,1180.65,189.74,584.65,8,10.00,1,1020380,149.00,149.00,149.00,149.00,169.00,179.00,189.74,584.65,733.65,1,1,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,5
50,CO,6127.99,110.24,3227.08,27,9.22,1,1007036,59.00,69.00,361.00,118.00,138.00,0.00,324.28,3530.42,5741.57,9,6,3,0,1,1,1,1,1,0,3,3,0,0,1,0,0,0,0,7
55,CO,2470.44,199.00,1093.44,6,10.00,1,1007615,0.00,0.00,0.00,229.00,298.00,199.00,199.00,1093.44,1093.44,1,1,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2
48,CO,1228.15,.00,534.15,17,10.00,1,1010512,295.00,0.00,0.00,100.00,0.00,0.00,998.00,3011.01,3011.01,6,4,2,0,0,0,1,0,0,2,0,0,0,0,2,0,0,4,0,0
47,CO,1264.49,626.90,1046.49,29,10.00,1,1011141,218.00,0.00,0.00,298.00,69.00,358.00,1229.73,5154.37,10600.39,4,2,2,0,0,0,0,0,1,6,4,0,0,0,0,0,0,0,0,10
28,CO,970.94,22.62,106.94,19,4.75,0,1013272,177.00,0.00,0.00,0.00,0.00,0.00,22.62,106.94,106.94,3,3,0,1,0,0,0,0,0,23,18,24,7,6,21,0,0,0,0,99
59,CO,2828.32,469.00,1672.00,23,10.00,1,1014583,100.00,0.00,141.00,345.00,0.00,0.00,3255.65,5348.71,5601.32,4,4,0,0,1,1,1,1,1,1,1,1,0,0,2,0,0,0,0,5
78,CO,11704.03,2717.15,7726.60,57,0.00,0,1014717,835.00,387.00,158.00,558.00,483.00,995.00,2738.31,7751.48,8275.31,3,2,1,0,1,1,1,1,1,18,9,8,6,2,11,0,0,0,0,54
35,CO,3189.2,499.00,1461.48,12,0.00,1,1014785,0.00,0.00,238.00,0.00,0.00,0.00,998.00,3323.82,5051.54,3,3,0,0,0,0,1,1,1,1,4,2,1,0,6,0,0,0,0,14
49,CO,15415.39,3959.88,10670.36,43,10.00,1,1022620,0.00,0.00,276.00,700.00,0.00,180.00,3722.63,11962.03,15861.78,4,3,1,0,1,0,1,1,1,2,4,2,0,0,2,0,0,7,0,3
29,CO,3871.89,1433.90,3871.89,28,0.00,1,1023976,0.00,0.00,0.00,298.00,414.00,0.00,3397.40,6565.93,6863.93,2,2,0,0,0,0,0,1,1,3,3,8,2,1,3,0,0,0,0,20
31,CO,1184,.00,.00,0,0.00,1,1026582,236.00,69.00,0.00,0.00,0.00,0.00,0.00,0.00,469.00,3,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
56,CO,19593.1,6254.97,12006.10,79,10.00,1,1026973,300.00,300.00,0.00,0.00,0.00,219.00,6772.38,13899.00,16032.00,5,3,2,1,1,1,1,1,1,1,8,7,0,0,0,0,0,3,0,13
57,CO,3491.11,986.50,2654.11,13,8.89,1,1027886,149.00,0.00,298.00,277.00,784.00,398.00,1242.98,3122.54,3271.54,4,4,0,1,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,8
76,CO,1741.57,382.96,797.57,7,8.18,1,1017232,208.00,0.00,0.00,357.00,318.00,358.00,382.96,823.53,1121.53,2,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2
51,CO,5825.2,947.06,3271.20,22,10.00,1,1018718,0.00,0.00,0.00,59.00,335.00,0.00,947.06,3398.34,3398.34,4,4,0,1,1,1,1,1,1,3,1,8,0,0,5,0,0,0,0,17
