SourceSystemName,Quantity,Price,HasResortCharge,PriceInCorporateCurrency,TotalUsageDays,PurchaserCustomerId,ProductOwnerCustomerId,ProductId,CalendarDate,SeasonName,ProductPackageName,Age,City,StateProvinceCode,PostalCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,IsDeleted,ThreeYearVisitCount,SkiAbility,NearestMajorAirportCode,SkiLoyaltyIndexRating,IsWinterGuest,IsSummerGuest,FrontRangeMarket,CustomerId,ProductFamily,ProductClass,ProductType,ProductId,ProductName,SourceSystemName
POS,1,409.00,1,409.00,13,1001783,1002010,9949,2015-09-20,Winter 2015/2016,ProductPackage - 3103,55,Golden,CO,80403,59,.00,59.00,False,16,NULL,DEN,0.00,True,True,1,1002010,Paid Pass,Unrestricted,ProductType - 70,9949,Product - 9949,POS
POS,1,30.00,0,30.00,7,9352272,14952680,11638,2015-11-22,Winter 2015/2016,ProductPackage - 3110,5,Golden,CO,80403,0,.00,.00,False,13,NULL,DEN,0.00,True,True,1,14952680,Paid Pass,Unrestricted,ProductType - 70,11638,Product - 11638,POS
POS,1,319.00,0,319.00,4,2131134,2153496,9972,2015-11-21,Winter 2015/2016,ProductPackage - 3073,11,Arvada,CO,80403,433.41,5.00,433.41,False,6,NULL,DEN,0.00,True,True,1,2153496,Paid Pass,Unrestricted,ProductType - 55,9972,Product - 9972,POS
POS,1,319.00,0,319.00,4,3870317,2109638,9972,2015-11-21,Winter 2015/2016,ProductPackage - 3073,13,Golden,CO,80403,0,.00,.00,False,8,NULL,DEN,0.00,True,True,1,2109638,Paid Pass,Unrestricted,ProductType - 55,9972,Product - 9972,POS
POS,1,319.00,0,319.00,4,6089107,1618719,9972,2015-11-05,Winter 2015/2016,ProductPackage - 3073,15,Golden,CO,80403,627,.00,627.00,False,8,NULL,DEN,10.00,True,True,1,1618719,Paid Pass,Unrestricted,ProductType - 55,9972,Product - 9972,POS
POS,1,30.00,0,30.00,1,3548476,9383809,9503,2015-10-06,Winter 2015/2016,ProductPackage - 3120,4,Golden,CO,80403,0,.00,.00,False,17,NULL,DEN,0.00,True,True,1,9383809,Paid Pass,Unrestricted,ProductType - 57,9503,Product - 9503,POS
POS,1,30.00,0,30.00,7,3548476,3544465,9503,2015-10-06,Winter 2015/2016,ProductPackage - 3120,6,Golden,CO,80403,0,.00,.00,False,17,NULL,DEN,0.00,True,True,1,3544465,Paid Pass,Unrestricted,ProductType - 57,9503,Product - 9503,POS
POS,1,929.00,0,929.00,19,2164869,2164869,1259,2011-10-28,Winter 2011/2012,ProductPackage - 9258,46,Golden,CO,80403,1855.12,50.00,229.12,False,7,NULL,DEN,10.00,True,True,1,2164869,Paid Pass,Unrestricted,ProductType - 61,1259,Product - 1259,POS
POS,1,50.00,1,50.00,9,1022620,1072039,1282,2013-03-14,Winter 2013/2014,ProductPackage - 9282,15,Golden,CO,80403,47.7,47.70,47.70,False,43,NULL,DEN,0.00,True,True,1,1072039,Paid Pass,Unrestricted,ProductType - 115,1282,Product - 1282,POS
POS,1,69.00,0,69.00,1,1945857,1945857,1872,2013-01-30,Winter 2012/2013,ProductPackage - 9710,48,Golden,CO,80403,11964.68,1473.60,5687.84,False,32,NULL,DEN,0.00,True,True,1,1945857,Paid Tickets,Discount,ProductType - 78,1872,Product - 1872,POS
