Age,StateProvinceCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,ThreeYearVisitCount,SkiLoyaltyIndexRating,FrontRangeMarket,CustId,Spend_Winter_2010,Spend_Winter_2011,Spend_Winter_2012,Spend_Winter_2013,Spend_Winter_2014,Spend_Winter_2015,Household1YearSpend,Household3YearSpend,HouseholdLifetimeSpend,NumberOfHouseholdMembers,NumberOfAdults,NumberOfChildren,Pass_Winter_2010,Pass_Winter_2011,Pass_Winter_2012,Pass_Winter_2013,Pass_Winter_2014,Pass_Winter_2015_x,January_15,February_15,March_15,April_15,November_14,December_14,Ski_Resort1_2014_2015,Ski_Resort2_2014_2015,Ski_Resort3_2014_2015,Ski_Resort4_2014_2015,Ski_Resort5_2014_2015,Pass_Winter_2015_y,actual_y,predicted_label,predicted_proba
50,CO,4374.25,1461.45,2731.98,41,10.0,1,1078466,177.0,138.0,0.0,59.0,138.0,0.0,1461.45,4036.98,4606.98,4,2,2,0,1,1,1,1,1,6,5,10,3,0,4,0,0,3,0,25,1,1,1,0.97583497
31,CO,528.0,0.0,0.0,34,10.0,1,1077183,0.0,69.0,0.0,0.0,0.0,0.0,2637.99,5474.6,7697.44,6,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.019197589
53,CO,3092.86,499.0,1110.86,10,0.0,1,1077232,118.0,0.0,148.0,59.0,69.0,0.0,499.0,1110.86,1766.33,4,4,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,3,1,1,1,0.65372384
58,CO,3350.38,979.57,1849.38,18,9.19,1,1104812,401.0,229.0,0.0,0.0,0.0,0.0,1307.57,2793.38,3090.38,6,6,0,0,1,1,1,1,1,5,1,2,0,0,0,0,0,1,0,7,1,1,1,0.9694117
70,CO,2203.27,897.27,1066.27,6,0.0,1,1079268,0.0,0.0,0.0,0.0,169.0,0.0,488.27,1066.27,1066.27,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0.68564504
45,CO,2620.04,0.0,2112.04,9,0.0,1,1078134,0.0,0.0,0.0,326.0,357.0,0.0,0.0,2161.77,2161.77,4,4,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,5,0,0,0,0.12369237
56,CO,6208.07,848.0,3229.07,14,2.37,1,1001766,0.0,0.0,0.0,59.0,0.0,0.0,848.0,3242.25,3687.25,6,3,3,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,2,1,1,1,0.93519264
54,CO,3639.95,590.47,2110.95,15,0.0,1,1001720,0.0,0.0,158.0,0.0,69.0,0.0,590.47,1621.95,2272.95,2,2,0,1,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,5,1,1,1,0.9635517
56,CO,8447.14,2313.0,6307.14,16,10.0,1,1001783,149.0,0.0,544.0,413.0,207.0,358.0,2313.0,6425.14,7353.14,5,5,0,0,1,1,1,1,1,2,1,4,1,1,6,0,0,0,0,15,1,1,1,0.975652
60,CO,2621.0,541.0,1567.0,18,9.07,1,1002075,59.0,0.0,69.0,0.0,0.0,0.0,479.0,1610.97,1728.97,3,3,0,0,1,1,1,1,1,1,4,4,2,3,5,0,0,0,0,19,1,1,1,0.97263116
58,CO,5503.81,193.61,850.94,74,8.57,1,1002089,590.0,0.0,377.05,0.0,0.0,0.0,651.7,2058.47,3448.97,6,6,0,1,1,0,1,1,1,4,6,4,3,1,3,0,0,0,0,21,1,1,0,0.24219173
57,CO,4931.21,620.79,2656.21,28,0.0,1,1002051,59.0,414.0,0.0,393.0,414.0,0.0,1023.08,3129.61,3505.61,7,5,2,0,1,1,1,1,1,2,6,17,0,0,0,0,0,0,0,25,1,1,1,0.95751554
