Age,City,StateProvinceCode,PostalCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,ThreeYearVisitCount,SkiLoyaltyIndexRating,IsWinterGuest,IsSummerGuest,FrontRangeMarket,Spend_Winter_2010,Household1YearSpend,Household3YearSpend,HouseholdLifetimeSpend,NumberOfHouseholdMembers,NumberOfAdults,NumberOfChildren,Pass_Winter_2010,January,February,March,April,November,December,Ski_Resort1,Ski_Resort2,Ski_Resort3,Ski_Resort4,Ski_Resort5,Pass_Winter_2011
47,Denver,CO,80228,2288.0,0.0,0.0,0.0,0.0,True,True,1.0,0.0,0.0,0.0,1568.0,6.0,4.0,2.0,0,3,1,0,0,1,0,0,0,0,0,5,1
52,Englewood,CO,80111,1801.0,0.0,0.0,0.0,10.0,True,True,1.0,199.0,0.0,0.0,227.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,1
32,Littleton,CO,80120,1782.0,0.0,0.0,7.0,0.0,True,True,1.0,0.0,149.0,1664.0,1891.0,3.0,3.0,0.0,1,0,0,3,0,1,6,0,0,0,0,10,1
50,Littleton,CO,80122,18029.82,3698.04,7343.88,29.0,7.87,True,True,1.0,0.0,4003.33,7701.95,9138.94,7.0,4.0,3.0,1,4,2,0,0,1,1,0,0,0,0,8,1
50,Denver,CO,80205,2460.39,0.0,593.0,12.0,10.0,True,True,1.0,0.0,411.16,1303.16,1402.16,2.0,2.0,0.0,1,0,0,0,1,0,1,0,0,0,0,2,1
69,Fort Collins,CO,80524,3321.57,157.88,897.88,11.0,10.0,True,True,1.0,149.0,1137.88,2944.9,3082.9,2.0,2.0,0.0,0,2,1,1,0,0,0,0,0,0,0,4,1
44,Golden,CO,80403,7583.0,998.0,3891.0,19.0,7.55,True,True,1.0,0.0,1004.02,3474.05,5110.05,6.0,4.0,2.0,1,0,0,1,0,0,0,0,0,0,0,1,1
51,Arvada,CO,80005,3298.86,0.0,1389.86,36.0,0.0,True,True,1.0,745.0,425.14,7817.26,8324.26,7.0,5.0,2.0,0,0,2,2,0,0,0,0,0,0,0,4,1
39,Fort Collins,CO,80521,3144.0,0.0,636.0,4.0,10.0,True,True,1.0,354.0,0.0,636.0,1017.32,2.0,2.0,0.0,1,0,2,1,1,0,11,0,0,0,0,15,1
33,Denver,CO,80236,1974.0,0.0,338.0,1.0,10.0,True,True,1.0,298.0,0.0,338.0,338.0,2.0,2.0,0.0,1,0,1,0,0,0,1,0,0,0,0,2,0
49,Highlands Ranch,CO,80130,6072.0,0.0,2385.0,7.0,10.0,True,True,1.0,59.0,0.0,2391.16,3378.16,2.0,1.0,1.0,1,0,2,0,0,1,3,0,0,0,0,6,1
56,Parker,CO,80138,5825.98,1253.0,2276.0,9.0,10.0,True,True,1.0,447.0,1253.0,2290.9,4113.93,6.0,3.0,3.0,0,1,2,0,1,0,0,0,0,0,0,4,0
71,Denver,CO,80206,3117.48,379.48,984.48,6.0,7.73,True,True,1.0,236.0,396.32,693.32,1132.32,3.0,3.0,0.0,1,1,4,4,0,1,3,0,0,0,0,13,0
36,Littleton,CO,80122,4385.5,229.5,1335.5,12.0,10.0,True,True,1.0,0.0,60.5,966.5,1862.5,1.0,1.0,0.0,1,0,5,2,0,0,3,0,0,0,0,10,1
49,Johnstown,CO,80534,1841.91,0.0,459.0,1.0,10.0,True,True,1.0,118.0,0.0,459.0,459.0,1.0,1.0,0.0,0,2,0,0,0,0,0,0,0,0,0,2,0
34,Denver,CO,80221,3131.0,599.0,2202.0,10.0,8.98,True,True,1.0,0.0,599.0,2202.0,2281.0,1.0,1.0,0.0,0,4,4,1,2,0,1,0,0,0,0,12,1
36,Littleton,CO,80123,2539.94,199.0,659.94,6.0,10.0,True,True,1.0,59.0,199.0,659.94,1174.94,1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1
56,Evergreen,CO,80439,5487.0,978.0,2385.0,8.0,0.0,True,True,1.0,59.0,978.0,2503.0,2503.0,4.0,4.0,0.0,0,0,0,0,0,0,2,0,0,0,0,2,1
48,Winter Park,CO,80482,6840.29,948.0,3008.61,19.0,10.0,True,True,0.0,47.04,948.0,3087.64,4584.64,10.0,6.0,4.0,0,15,12,21,5,4,18,0,0,0,0,75,0
44,Longmont,CO,80503,3190.92,502.53,1660.92,18.0,10.0,True,True,1.0,59.0,502.53,1660.92,1954.92,2.0,2.0,0.0,1,5,4,9,0,4,8,0,0,0,0,30,1
21,Greenwood Village,CO,80111,2138.32,987.0,1568.45,8.0,0.0,True,True,1.0,59.0,987.0,1568.45,1568.45,4.0,4.0,0.0,0,3,5,4,1,2,4,0,0,0,0,19,0
44,Boulder,CO,80301,4161.62,196.0,2706.86,19.0,10.0,True,True,1.0,534.0,380.8,8894.76,8992.76,7.0,4.0,3.0,0,0,5,1,0,1,0,0,0,0,0,7,0
33,Denver,CO,80237,615.0,0.0,0.0,0.0,10.0,True,True,1.0,236.0,0.0,0.0,0.0,2.0,2.0,0.0,1,4,1,2,0,3,3,0,0,0,0,13,0
52,Granby,CO,80446,3343.67,1322.4,2165.38,21.0,8.06,True,True,0.0,59.0,1375.23,2231.33,2231.33,4.0,2.0,2.0,1,1,3,2,5,1,5,0,0,0,0,17,1
35,Fraser,CO,80442,429.0,0.0,0.0,2.0,10.0,True,True,0.0,0.0,0.0,428.0,1096.0,6.0,6.0,0.0,1,5,4,1,2,0,2,0,0,0,0,14,0
56,Littleton,CO,80123,1163.0,298.0,427.0,3.0,10.0,True,True,1.0,0.0,149.0,427.0,526.0,3.0,3.0,0.0,1,1,1,0,1,0,1,0,0,0,0,4,0
51,Littleton,CO,80126,7401.71,882.67,2135.23,17.0,8.76,True,True,1.0,0.0,882.67,2135.23,2204.23,3.0,1.0,2.0,1,2,1,0,2,0,2,0,0,0,0,7,1
33,Golden,CO,80403,1530.62,85.48,1092.62,17.0,9.21,True,True,1.0,59.0,107.09,1154.67,1154.67,3.0,2.0,1.0,0,1,1,0,1,0,7,0,0,0,0,10,0
53,Littleton,CO,80122,2291.0,0.0,0.0,0.0,0.0,True,True,1.0,298.0,0.0,0.0,0.0,4.0,2.0,2.0,1,2,1,0,0,0,0,0,0,0,0,3,1
63,Boulder,CO,80304,5842.08,997.88,3141.08,16.0,10.0,True,True,1.0,0.0,997.88,3165.41,3303.41,2.0,2.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1
52,Denver,CO,80226,4003.48,1380.16,2671.48,35.0,6.96,True,True,1.0,295.0,2612.33,5211.3,5211.3,6.0,2.0,4.0,0,0,5,0,0,0,0,0,0,0,0,5,0
33,Arvada,CO,80003,3200.06,498.94,1525.94,20.0,10.0,True,True,1.0,118.0,1146.94,3081.92,3603.92,2.0,2.0,0.0,0,0,0,0,0,0,2,0,0,0,0,2,1
64,Breckenridge,CO,80424,1047.02,6.02,6.02,5.0,5.52,True,True,0.0,0.0,6.02,6.02,638.02,1.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,1
59,Littleton,CO,80127,3219.08,655.08,1670.08,11.0,10.0,True,True,1.0,398.0,671.01,1651.04,2108.04,4.0,4.0,0.0,0,1,0,1,0,0,0,0,0,0,0,2,0
36,Longmont,CO,80501,2651.0,0.0,706.0,6.0,10.0,True,True,1.0,0.0,0.0,706.0,706.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1
55,Denver,CO,80230,3208.0,0.0,0.0,0.0,10.0,True,True,1.0,59.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,1
47,Fraser,CO,80442,1683.0,0.0,0.0,0.0,0.0,True,False,0.0,177.0,0.0,0.0,369.0,3.0,3.0,0.0,1,4,1,7,6,0,5,0,0,0,0,23,1
