Age,City,StateProvinceCode,PostalCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,IsDeleted,ThreeYearVisitCount,SkiAbility,NearestMajorAirportCode,SkiLoyaltyIndexRating,IsWinterGuest,IsSummerGuest,FrontRangeMarket,CustId,Spend_Winter_2010,Spend_Winter_2011,Spend_Winter_2012,Spend_Winter_2013,Spend_Winter_2014,Spend_Winter_2015,Household1YearSpend,Household3YearSpend,HouseholdLifetimeSpend,HouseholdIncome,NumberOfHouseholdMembers,NumberOfAdults,NumberOfChildren,HouseholdCreateDate,Pass_Winter_2010,Pass_Winter_2011,Pass_Winter_2012,Pass_Winter_2013,Pass_Winter_2014,Pass_Winter_2015,January,February,March,April,November,December,Ski_Resort1,Ski_Resort2,Ski_Resort3,Ski_Resort4,Ski_Resort5
34,Lakewood,CO,80228,665,.00,.00,False,1,NULL,DEN,1.25,True,True,1,1807270,267.00,159.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,1,1,0,2015-09-02 11:38:17.000,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,5
22,Colorado Springs,CO,80921,385.77,.00,.00,False,0,NULL,DEN,10.00,True,False,0,1988025,0.00,77.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,3,3,0,2015-09-02 11:38:17.000,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
56,Denver,CO,80207,4557.6,6.58,2577.58,False,13,NULL,DEN,10.00,True,True,1,2158716,59.00,0.00,0.00,59.00,138.00,0.00,13.16,2769.10,2854.12,NULL,2,2,0,2015-09-02 11:38:17.000,1,1,1,1,1,1,3,2,4,3,0,1,0,0,0,0,13
38,Golden,CO,80401,1532,.00,169.00,False,1,NULL,DEN,10.00,True,True,1,1990315,118.00,69.00,248.00,169.00,0.00,0.00,0.00,169.00,417.00,NULL,2,1,1,2015-09-02 11:38:17.000,1,1,0,0,0,0,2,3,3,1,2,2,0,0,0,0,13
58,Englewood,CO,80110,6270.43,1597.00,2814.00,False,8,NULL,DEN,10.00,True,True,1,2128168,236.00,0.00,0.00,0.00,0.00,0.00,1629.32,3984.32,4444.32,NULL,4,4,0,2015-09-02 11:38:17.000,1,1,0,1,0,1,0,0,4,0,0,0,0,0,0,0,4
43,Denver,CO,80224,1149,.00,413.00,False,14,NULL,DEN,10.00,True,True,1,1850533,159.00,159.00,149.00,413.00,0.00,0.00,2387.00,5315.00,5462.00,NULL,5,2,3,2015-09-02 11:38:17.000,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,3
48,Littleton,CO,80126,3932.41,.00,623.28,False,3,NULL,DEN,7.73,True,True,1,1932107,370.60,0.00,0.00,0.00,0.00,0.00,552.00,1175.28,1175.28,NULL,3,1,2,2015-09-02 11:38:17.000,0,1,1,0,1,0,0,2,7,0,0,4,0,0,0,0,13
25,Littleton,CO,80122,548,.00,.00,False,0,NULL,DEN,10.00,True,True,1,1455008,118.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,3,2,1,2015-09-02 11:38:17.000,1,0,0,0,0,0,2,0,1,0,2,2,0,0,0,0,7
75,Evergreen,CO,80439,2089.9,49.00,492.69,False,25,NULL,DEN,0.00,True,True,1,22850333,236.00,0.00,276.00,0.00,0.00,0.00,1176.05,2666.92,3468.92,NULL,2,2,0,2016-04-17 05:00:07.000,0,1,1,1,1,0,0,0,4,0,0,1,0,0,0,0,5
69,Kremmling,CO,80459,1242.95,56.29,445.95,False,20,NULL,DEN,0.00,True,True,0,1834821,59.00,0.00,0.00,236.50,138.00,0.00,505.29,1929.05,1929.05,NULL,2,2,0,2015-09-02 11:38:17.000,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
54,Denver,CO,80237,8340.23,716.00,4333.85,False,23,NULL,DEN,0.00,True,True,1,1430972,449.44,97.92,0.00,236.00,0.00,716.00,716.00,5119.70,6473.70,NULL,4,2,2,2015-09-02 11:38:17.000,0,1,1,1,1,0,1,1,2,0,0,0,0,0,0,0,4
57,Arvada,CO,80004,1654,399.00,399.00,False,3,NULL,DEN,10.00,True,True,1,1703343,118.00,0.00,0.00,0.00,0.00,0.00,418.87,418.87,418.87,NULL,4,3,1,2015-09-02 11:38:17.000,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2
45,Boulder,CO,80302,8843.37,1967.17,5364.13,False,60,NULL,DEN,0.00,True,True,1,22846314,472.00,0.00,0.00,590.00,434.00,0.00,2781.88,8291.68,8794.68,NULL,6,5,1,2016-08-13 03:00:09.000,0,1,1,1,1,1,3,5,0,0,0,0,0,0,0,0,8
51,Erie,CO,80516,2309.54,.00,835.28,False,3,NULL,DEN,0.00,True,True,1,2175696,0.00,69.00,0.00,0.00,0.00,0.00,0.00,835.28,835.28,NULL,3,2,1,2015-09-02 11:38:17.000,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
56,Littleton,CO,80121,527,.00,.00,False,0,NULL,DEN,10.00,True,True,1,1234227,118.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,4,4,0,2015-09-02 11:38:17.000,0,1,0,0,0,0,2,2,3,0,0,2,0,0,0,0,9
46,Golden,CO,80403,10612,1806.00,5045.00,False,18,NULL,DEN,10.00,True,True,1,1760592,64.00,441.00,0.00,0.00,0.00,0.00,1806.00,5045.00,5292.76,NULL,6,3,3,2015-09-02 11:38:17.000,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
60,Superior,CO,80027,4582.46,1087.00,2418.46,False,22,NULL,DEN,0.00,True,True,1,22847007,0.00,0.00,69.00,99.00,139.00,149.00,1087.00,2468.46,2567.46,NULL,2,1,1,2016-08-13 03:00:09.000,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1
52,Fort Collins,CO,80525,11600.93,2524.35,5433.93,False,40,NULL,DEN,0.00,True,True,1,1973919,172.95,99.00,0.00,236.00,87.99,226.95,2751.12,6046.74,6941.74,NULL,9,5,4,2015-09-02 11:38:17.000,0,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,2
